Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
6/8/2018 16:00:00,47.93,6/8/2018 16:00:00,101.63,6/8/2018 16:00:00,1683.99,6/8/2018 16:00:00,189.1,6/8/2018 16:00:00,63.53,6/8/2018 16:00:00,1132.71,6/8/2018 16:00:00,1120.87,10/4/2018 15:00:00,4181,6/8/2018 16:00:00,124.06,6/8/2018 16:00:00,111.11
6/11/2018 16:00:00,47.81,6/11/2018 16:00:00,101.05,6/11/2018 16:00:00,1689.12,6/11/2018 16:00:00,191.54,6/11/2018 16:00:00,66.42,6/11/2018 16:00:00,1140.9,6/11/2018 16:00:00,1129.99,10/5/2018 15:00:00,4140,6/11/2018 16:00:00,122.66,6/11/2018 16:00:00,110.83
6/12/2018 16:00:00,48.07,6/12/2018 16:00:00,101.31,6/12/2018 16:00:00,1698.75,6/12/2018 16:00:00,192.4,6/12/2018 16:00:00,68.55,6/12/2018 16:00:00,1148.19,6/12/2018 16:00:00,1139.32,10/8/2018 15:00:00,4200.23,6/12/2018 16:00:00,122.54,6/12/2018 16:00:00,110.19
6/13/2018 16:00:00,47.68,6/13/2018 16:00:00,100.85,6/13/2018 16:00:00,1704.86,6/13/2018 16:00:00,192.41,6/13/2018 16:00:00,68.96,6/13/2018 16:00:00,1144.23,6/13/2018 16:00:00,1134.79,10/9/2018 15:00:00,4265,6/13/2018 16:00:00,122.63,6/13/2018 16:00:00,109.97
6/14/2018 16:00:00,47.7,6/14/2018 16:00:00,101.42,6/14/2018 16:00:00,1723.86,6/14/2018 16:00:00,196.81,6/14/2018 16:00:00,71.54,6/14/2018 16:00:00,1160.11,6/14/2018 16:00:00,1152.12,10/10/2018 15:00:00,4119.43,6/14/2018 16:00:00,122.41,6/14/2018 16:00:00,108.03
6/15/2018 16:00:00,47.21,6/15/2018 16:00:00,100.13,6/15/2018 16:00:00,1715.97,6/15/2018 16:00:00,195.85,6/15/2018 16:00:00,71.63,6/15/2018 16:00:00,1159.27,6/15/2018 16:00:00,1152.26,10/11/2018 15:00:00,3938.2,6/15/2018 16:00:00,122.61,6/15/2018 16:00:00,107.9
6/18/2018 16:00:00,47.19,6/18/2018 16:00:00,100.86,6/18/2018 16:00:00,1723.79,6/18/2018 16:00:00,198.31,6/18/2018 16:00:00,74.17,6/18/2018 16:00:00,1183.58,6/18/2018 16:00:00,1173.46,10/12/2018 15:00:00,3898,6/18/2018 16:00:00,121.32,6/18/2018 16:00:00,108.18
6/19/2018 16:00:00,46.42,6/19/2018 16:00:00,100.86,6/19/2018 16:00:00,1734.78,6/19/2018 16:00:00,197.49,6/19/2018 16:00:00,70.51,6/19/2018 16:00:00,1178.69,6/19/2018 16:00:00,1168.06,10/16/2018 15:00:00,3925.77,6/19/2018 16:00:00,122.57,6/19/2018 16:00:00,107.55
6/20/2018 16:00:00,46.63,6/20/2018 16:00:00,101.87,6/20/2018 16:00:00,1750.08,6/20/2018 16:00:00,202,6/20/2018 16:00:00,72.44,6/20/2018 16:00:00,1184.07,6/20/2018 16:00:00,1169.84,10/17/2018 15:00:00,3971,6/20/2018 16:00:00,122.04,6/20/2018 16:00:00,107.54
6/21/2018 16:00:00,46.37,6/21/2018 16:00:00,101.14,6/21/2018 16:00:00,1730.22,6/21/2018 16:00:00,201.5,6/21/2018 16:00:00,69.5,6/21/2018 16:00:00,1169.44,6/21/2018 16:00:00,1157.66,10/18/2018 15:00:00,4002,6/21/2018 16:00:00,121.45,6/21/2018 16:00:00,107.51
6/22/2018 16:00:00,46.23,6/22/2018 16:00:00,100.41,6/22/2018 16:00:00,1715.67,6/22/2018 16:00:00,201.74,6/22/2018 16:00:00,66.73,6/22/2018 16:00:00,1169.29,6/22/2018 16:00:00,1155.48,10/19/2018 15:00:00,4057.5,6/22/2018 16:00:00,122.84,6/22/2018 16:00:00,105.75
6/25/2018 16:00:00,45.54,6/25/2018 16:00:00,98.39,6/25/2018 16:00:00,1663.15,6/25/2018 16:00:00,196.35,6/25/2018 16:00:00,66.6,6/25/2018 16:00:00,1139.28,6/25/2018 16:00:00,1124.81,10/22/2018 15:00:00,4000,6/25/2018 16:00:00,122.59,6/25/2018 16:00:00,104.79
6/26/2018 16:00:00,46.11,6/26/2018 16:00:00,99.08,6/26/2018 16:00:00,1691.09,6/26/2018 16:00:00,199,6/26/2018 16:00:00,68.4,6/26/2018 16:00:00,1132.62,6/26/2018 16:00:00,1118.46,10/23/2018 15:00:00,3936.9,6/26/2018 16:00:00,122.35,6/26/2018 16:00:00,104.86
6/27/2018 16:00:00,46.04,6/27/2018 16:00:00,97.54,6/27/2018 16:00:00,1660.51,6/27/2018 16:00:00,195.84,6/27/2018 16:00:00,68.9,6/27/2018 16:00:00,1116.94,6/27/2018 16:00:00,1103.98,10/24/2018 15:00:00,3980,6/27/2018 16:00:00,121.61,6/27/2018 16:00:00,103.24
6/28/2018 16:00:00,46.38,6/28/2018 16:00:00,98.63,6/28/2018 16:00:00,1701.45,6/28/2018 16:00:00,196.23,6/28/2018 16:00:00,69.99,6/28/2018 16:00:00,1126.78,6/28/2018 16:00:00,1114.22,10/25/2018 15:00:00,3928,6/28/2018 16:00:00,122,6/28/2018 16:00:00,104.93
6/29/2018 16:00:00,46.28,6/29/2018 16:00:00,98.61,6/29/2018 16:00:00,1699.8,6/29/2018 16:00:00,194.32,6/29/2018 16:00:00,68.59,6/29/2018 16:00:00,1129.19,6/29/2018 16:00:00,1115.65,10/26/2018 15:00:00,3877,6/29/2018 16:00:00,121.34,6/29/2018 16:00:00,104.2
7/2/2018 16:00:00,46.8,7/2/2018 16:00:00,100.01,7/2/2018 16:00:00,1713.78,7/2/2018 16:00:00,197.36,7/2/2018 16:00:00,67.01,7/2/2018 16:00:00,1142.11,7/2/2018 16:00:00,1127.46,10/29/2018 14:00:00,3990,7/2/2018 16:00:00,121.58,7/2/2018 16:00:00,105.08
7/3/2018 13:00:00,45.98,7/3/2018 13:00:00,99.05,7/3/2018 13:00:00,1693.96,7/3/2018 13:00:00,192.73,7/3/2018 13:00:00,62.17,7/3/2018 13:00:00,1116.28,7/3/2018 13:00:00,1102.89,10/30/2018 14:00:00,4065.43,7/3/2018 13:00:00,122.71,7/3/2018 13:00:00,103.61
7/5/2018 16:00:00,46.35,7/5/2018 16:00:00,99.76,7/5/2018 16:00:00,1699.73,7/5/2018 16:00:00,198.45,7/5/2018 16:00:00,61.83,7/5/2018 16:00:00,1141.29,7/5/2018 16:00:00,1124.27,10/31/2018 14:00:00,4186,7/5/2018 16:00:00,125,7/5/2018 16:00:00,103.72
7/6/2018 16:00:00,46.99,7/6/2018 16:00:00,101.16,7/6/2018 16:00:00,1710.63,7/6/2018 16:00:00,203.23,7/6/2018 16:00:00,61.78,7/6/2018 16:00:00,1155.08,7/6/2018 16:00:00,1140.17,11/1/2018 14:00:00,4135,7/6/2018 16:00:00,125.75,7/6/2018 16:00:00,104.06
7/9/2018 16:00:00,47.65,7/9/2018 16:00:00,101.85,7/9/2018 16:00:00,1739.02,7/9/2018 16:00:00,204.74,7/9/2018 16:00:00,63.7,7/9/2018 16:00:00,1167.28,7/9/2018 16:00:00,1154.05,11/5/2018 15:00:00,4301.01,7/9/2018 16:00:00,126.05,7/9/2018 16:00:00,107.28
7/10/2018 16:00:00,47.59,7/10/2018 16:00:00,102.12,7/10/2018 16:00:00,1743.07,7/10/2018 16:00:00,203.54,7/10/2018 16:00:00,64.49,7/10/2018 16:00:00,1167.14,7/10/2018 16:00:00,1152.84,11/6/2018 15:00:00,4307,7/10/2018 16:00:00,127.38,7/10/2018 16:00:00,106.62
